gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.298935804792202831e+00,4.272378216590793087e+00,2.204795909101753715e+00
1.290732841309550238e+00,4.281545557453836359e+00,2.180526227286244012e+00
1.282535085327711766e+00,4.290564749498161135e+00,2.156212068264885318e+00
1.274342563285238539e+00,4.299435534230799938e+00,2.131854386823716752e+00
1.266155301454058080e+00,4.308157669072890883e+00,2.107454129570176082e+00
1.257973323024945023e+00,4.316730912208222470e+00,2.083012258370875447e+00
1.249796655064133510e+00,4.325155030412887847e+00,2.058529718792958985e+00
1.241625318057727023e+00,4.333429791588073066e+00,2.034007473741370919e+00
1.233459341957953592e+00,4.341554979996385732e+00,2.009446479077109604e+00
1.225298748917787561e+00,4.349530374945373090e+00,1.984847695078648666e+00
1.217143564040453763e+00,4.357355769789873712e+00,1.960212080363368914e+00
1.208993814493962260e+00,4.365030961892819583e+00,1.935540598930911127e+00
1.200849521918814444e+00,4.372555752668944251e+00,1.910834214562721733e+00
1.192710710603615221e+00,4.379929955639625838e+00,1.886093888054131584e+00
1.184577412588617706e+00,4.387153381183299672e+00,1.861320589858741492e+00
1.176449640205772251e+00,4.394225861036907155e+00,1.836515283373076679e+00
1.168327428046691097e+00,4.401147216963397391e+00,1.811678938979187636e+00
1.160210799456738329e+00,4.407917287732413314e+00,1.786812527787098093e+00
1.152099776893571681e+00,4.414535913698932390e+00,1.761917016226003163e+00
1.143994388220548997e+00,4.421002945538378803e+00,1.736993373479962965e+00
1.135894651121937216e+00,4.427318235717077499e+00,1.712042576977294450e+00
1.127800595352008051e+00,4.433481647760007860e+00,1.687065596030871584e+00
1.119712248609660232e+00,4.439493045860650078e+00,1.662063403456484734e+00
1.111629630598147900e+00,4.445352307638830602e+00,1.637036977703691720e+00
1.103552767481099206e+00,4.451059314332014516e+00,1.611987293608590610e+00
1.095481682118194522e+00,4.456613948527628821e+00,1.586915325049285563e+00
1.087416403639130946e+00,4.462016108648523272e+00,1.561822047860651708e+00
1.079356950689644323e+00,4.467265694812765808e+00,1.536708443573141514e+00
1.071303350279042998e+00,4.472362609695220037e+00,1.511575485964292476e+00
1.063255632255670990e+00,4.477306767564641632e+00,1.486424156780580264e+00
1.055213813915274246e+00,4.482098087813314535e+00,1.461255434306800716e+00
1.047177922897118085e+00,4.486736501304555702e+00,1.436070294331329045e+00
1.039147980568597918e+00,4.491221934321472986e+00,1.410869721350413553e+00
1.031124015291228657e+00,4.495554326848459681e+00,1.385654693120414338e+00
1.023106051726427879e+00,4.499733624622381356e+00,1.360426194158495861e+00
1.015094110848506759e+00,4.503759783571473108e+00,1.335185199408563950e+00
1.007088220430518932e+00,4.507632758516966653e+00,1.309932692737770354e+00
9.990884020459407378e-01,4.511352512165372808e+00,1.284669656542845262e+00
9.910946834110048176e-01,4.514919020176393794e+00,1.259397070350465775e+00
9.831070819696499097e-01,4.518332262000442689e+00,1.234115917930912021e+00
9.751256311692783063e-01,4.521592217007794012e+00,1.208827178093821564e+00
9.671503493407576091e-01,4.524698878021687243e+00,1.183531834501972302e+00
9.591812635567503742e-01,4.527652243242830998e+00,1.158230869015793862e+00
9.512183962784152014e-01,4.530452316599876461e+00,1.132925259927625827e+00
9.432617703578282109e-01,4.533099110179716895e+00,1.107615992316624220e+00
9.353114168719425248e-01,4.535592637298462293e+00,1.082304048827796183e+00
9.273673513793901924e-01,4.537932925133984163e+00,1.056990403224877806e+00
9.194296035479376794e-01,4.540119998888410890e+00,1.031676042755796940e+00
9.114981964442416817e-01,4.542153900198340644e+00,1.006361947385189026e+00
9.035731523803846033e-01,4.544034669877875743e+00,9.810490937850436799e-01
8.956544975409385101e-01,4.545762356195973908e+00,9.557384683091111333e-01
8.877422560493931636e-01,4.547337016701180623e+00,9.304310426292423664e-01
8.798364514152247073e-01,4.548758718036339133e+00,9.051278000714486627e-01
8.719371063178987802e-01,4.550027519259271180e+00,8.798297150700474800e-01
8.640442461566131271e-01,4.551143504487098923e+00,8.545377695485378844e-01
8.561578979733691641e-01,4.552106752354245778e+00,8.292529415618427047e-01
8.482780814441135409e-01,4.552917350464949386e+00,8.039762066643770799e-01
8.404048217410103883e-01,4.553575393621422052e+00,7.787085375423873357e-01
8.325381421568827101e-01,4.554080986422672339e+00,7.534509123601961234e-01
8.246780681222778409e-01,4.554434234106379265e+00,7.282043048120111495e-01
8.168246234614475743e-01,4.554635252207502205e+00,7.029696865746523082e-01
8.089778313420016298e-01,4.554684159561364964e+00,6.777480340545544157e-01
8.011377173885265712e-01,4.554581083257262186e+00,6.525403182005342639e-01
7.933043015614055227e-01,4.554326159847346567e+00,6.273475108280420764e-01
7.854776084810078940e-01,4.553919529172135938e+00,6.021705753690943519e-01
7.776576692519941991e-01,4.553361333853376713e+00,5.770104892978158428e-01
7.698444985997822121e-01,4.552651730012071241e+00,5.518682160477142995e-01
7.620381264181991243e-01,4.551790875188777896e+00,5.267447222648087291e-01
7.542385712925029351e-01,4.550778933778843793e+00,5.016409737709822680e-01
7.464458628172812027e-01,4.549616083762598073e+00,4.765579344800280892e-01
7.386600183374049111e-01,4.548302497558167623e+00,4.514965699830159607e-01
7.308810655119282185e-01,4.546838364530130683e+00,4.264578394353793489e-01
7.231090300631183299e-01,4.545223872925802766e+00,4.014427040640393685e-01
7.153439295545964693e-01,4.543459216229622122e+00,3.764521202958448498e-01
7.075857909003588908e-01,4.541544608418345952e+00,3.514870512125789492e-01
6.998346414370834045e-01,4.539480253734581083e+00,3.265484497531244701e-01
6.920904986274811765e-01,4.537266369055220849e+00,3.016372696016934030e-01
6.843533873314490146e-01,4.534903177544728159e+00,2.767544646752462811e-01
6.766233359673570202e-01,4.532390907710669659e+00,2.519009852181062215e-01
6.689003641637200070e-01,4.529729797839019412e+00,2.270777840889010024e-01
6.611844947602399936e-01,4.526920087863947728e+00,2.022858094428922060e-01
6.534757500148630216e-01,4.523962026956410476e+00,1.775260025010255149e-01
6.457741588775061103e-01,4.520855864892284970e+00,1.527993144848155960e-01
6.380797393257799932e-01,4.517601869897388767e+00,1.281066849462621227e-01
6.303925188661082535e-01,4.514200301797555603e+00,1.034490532488328424e-01
6.227125196973329890e-01,4.510651438399083446e+00,7.882736176152810303e-02
6.150397648943615181e-01,4.506955556886441450e+00,5.424254685124652725e-02
6.073742724373987212e-01,4.503112944131087758e+00,2.969554219724895167e-02
5.997160772795470107e-01,4.499123891506776829e+00,5.187283119500244767e-03
5.920651939547096898e-01,4.494988694446238497e+00,-1.928129764523445200e-02
5.844216490934655006e-01,4.490707660563955095e+00,-4.370927649783187818e-02
5.767854621836234763e-01,4.486281095877927783e+00,-6.809572343018774343e-02
5.691566630365378909e-01,4.481709320634585936e+00,-9.243971660655964095e-02
5.615352699265262482e-01,4.476992654972170804e+00,-1.167403280799708121e-01
5.539213055649856443e-01,4.472131429484887732e+00,-1.409966425132375967e-01
5.463147953717523153e-01,4.467125975815763539e+00,-1.652077404501031688e-01
5.387157640117340440e-01,4.461976636783194117e+00,-1.893727071520796834e-01
5.311242325221873228e-01,4.456683759606655748e+00,-2.134906255543698728e-01
5.235402232333630224e-01,4.451247694535032551e+00,-2.375605885504608050e-01
5.159637596770567658e-01,4.445668802576533629e+00,-2.615816863277280468e-01
5.083948668392995751e-01,4.439947446606614889e+00,-2.855530164566935092e-01
5.008335649943299606e-01,4.434083998755171230e+00,-3.094736717681202398e-01
4.932798792117250586e-01,4.428078837115040578e+00,-3.333427548652584393e-01
4.857338306778807846e-01,4.421932342221476908e+00,-3.571593652239326566e-01
4.781954443740384919e-01,4.415644902919849457e+00,-3.809226083774032157e-01
4.706647447763652181e-01,4.409216913604934618e+00,-4.046315946797700569e-01
4.631417489292746770e-01,4.402648776109430173e+00,-4.282854291027634042e-01
4.556264845435449296e-01,4.395940895406310389e+00,-4.518832287221836719e-01
4.481189750158930396e-01,4.389093679626241418e+00,-4.754241070875200870e-01
4.406192396593161531e-01,4.382107557978175194e+00,-4.989071868158226342e-01
4.331273017903070066e-01,4.374982942952224896e+00,-5.223315836724142791e-01
4.256431915998454829e-01,4.367720270614647404e+00,-5.456964283119468684e-01
4.181669199442853424e-01,4.360319974063008530e+00,-5.690008429735443629e-01
4.106985179454873958e-01,4.352782494686295856e+00,-5.922439595392123834e-01
4.032380060809866995e-01,4.345108279163754972e+00,-6.154249171670748142e-01
3.957854062051339161e-01,4.337297781256618912e+00,-6.385428452903458840e-01
3.883407400745356175e-01,4.329351456793796515e+00,-6.615968865762131834e-01
3.809040342676616175e-01,4.321269773125159475e+00,-6.845861869630947005e-01
3.734753099016713818e-01,4.313053196751363672e+00,-7.075098866895080940e-01
3.660545884311456888e-01,4.304702202418811297e+00,-7.303671453091783450e-01
3.586418917493219283e-01,4.296217274618935100e+00,-7.531571059515004274e-01
3.512372423935289367e-01,4.287598901019888942e+00,-7.758789283899061306e-01
3.438406675857803574e-01,4.278847565825021348e+00,-7.985317774698115212e-01
3.364521844638260206e-01,4.269963774010254731e+00,-8.211148059611316219e-01
3.290718183918243112e-01,4.260948024135418066e+00,-8.436271875371019746e-01
3.216995895436490782e-01,4.251800828613653493e+00,-8.660680902724696706e-01
3.143355225504658734e-01,4.242522696864988951e+00,-8.884366891192148064e-01
3.069796387086020650e-01,4.233114152561224586e+00,-9.107321605142337795e-01
2.996319618842754884e-01,4.223575715535355712e+00,-9.329536825765047947e-01
2.922925152004803850e-01,4.213907922208441903e+00,-9.551004421943546374e-01
2.849613154339162291e-01,4.204111305083285899e+00,-9.771716302240516239e-01
2.776383906936621404e-01,4.194186403735710833e+00,-9.991664359207641510e-01
2.703237590857002770e-01,4.184133769027284622e+00,-1.021084052123793384e+00
2.630174480547929350e-01,4.173953945895881645e+00,-1.042923679890742195e+00
2.557194721088491551e-01,4.163647497431770539e+00,-1.064684524637274698e+00
2.484298649049468954e-01,4.153214980762876429e+00,-1.086365791029476835e+00
2.411486392164623738e-01,4.142656967206006513e+00,-1.107966691856764774e+00
2.338758208917033621e-01,4.131974027399000882e+00,-1.129486437797223575e+00
2.266114277347480443e-01,4.121166737836562177e+00,-1.150924251903437501e+00
2.193554888188369301e-01,4.110235684686178281e+00,-1.172279353842769600e+00
2.121080200376659619e-01,4.099181453365146943e+00,-1.193550973851672525e+00
2.048690466732784321e-01,4.088004634263787018e+00,-1.214738341876364203e+00
1.976385933431406283e-01,4.076705832528007889e+00,-1.235840689342819321e+00
1.904166759714726598e-01,4.065285642779228326e+00,-1.256857258117751064e+00
1.832033193757167944e-01,4.053744679816060348e+00,-1.277787291807432668e+00
1.759985477566522460e-01,4.042083554483123287e+00,-1.298630038460329983e+00
1.688023797286302974e-01,4.030302882543497667e+00,-1.319384747266831193e+00
1.616148420004213659e-01,4.018403288361260373e+00,-1.340050674679434062e+00
1.544359489369414029e-01,4.006385399942693937e+00,-1.360627083745511667e+00
1.472657277360274741e-01,3.994249849152509579e+00,-1.381113234922010102e+00
1.401041978797160914e-01,3.981997276948934683e+00,-1.401508399494240109e+00
1.329513825635506852e-01,3.969628319016339724e+00,-1.421811853452031427e+00
1.258073027554240664e-01,3.957143627712956135e+00,-1.442022869917818140e+00
1.186719834010555724e-01,3.944543852991159838e+00,-1.462140731692982643e+00
1.115454417335789844e-01,3.931829648851680847e+00,-1.482164728793724517e+00
1.044277024680165117e-01,3.919001680231184892e+00,-1.502094148831665921e+00
9.731878487381838416e-02,3.906060607730415413e+00,-1.521928289973667026e+00
9.021871638695955209e-02,3.893007108646012071e+00,-1.541666452140219690e+00
8.312750819543737735e-02,3.879841852106935995e+00,-1.561307938562370490e+00
7.604518887251793258e-02,3.866565517884233305e+00,-1.580852063174488453e+00
6.897178160519830403e-02,3.853178790845422697e+00,-1.600298136198475163e+00
6.190730278746451459e-02,3.839682363834989509e+00,-1.619645478530562732e+00
5.485177814751632241e-02,3.826076923334088775e+00,-1.638893414264753323e+00
4.780522817610402542e-02,3.812363166173990958e+00,-1.658041271859995280e+00
4.076767176434881179e-02,3.798541801956371255e+00,-1.677088384497688267e+00
3.373913127829471226e-02,3.784613527134712108e+00,-1.696034089102717912e+00
2.671962965296316092e-02,3.770579054979955824e+00,-1.714877730320579108e+00
1.970919055347521501e-02,3.756439103124340040e+00,-1.733618657319059508e+00
1.270783000927665565e-02,3.742194387088740193e+00,-1.752256220294748035e+00
5.715572920671382375e-03,3.727845632844796864e+00,-1.770789775032181046e+00
-1.267561939297968347e-03,3.713393563172998402e+00,-1.789218691548695395e+00
-8.241551574838102204e-03,3.698838912754796926e+00,-1.807542332390763562e+00
-1.520637541642121116e-02,3.684182416075367783e+00,-1.825760070093525700e+00
-2.216201048568247969e-02,3.669424814092216991e+00,-1.843871287177320850e+00
-2.910843678722735764e-02,3.654566851029090735e+00,-1.861875363037670761e+00
-3.604563416730797998e-02,3.639609268017558463e+00,-1.879771686572157874e+00
-4.297358242070675044e-02,3.624552824122912131e+00,-1.897559652845574263e+00
-4.989225354921243694e-02,3.609398268450147551e+00,-1.915238656176219134e+00
-5.680163572637050851e-02,3.594146365692465928e+00,-1.932808103304883174e+00
-6.370170382861113645e-02,3.578797874907232668e+00,-1.950267399994462192e+00
-7.059243484099965438e-02,3.563353569143163480e+00,-1.967615964996048294e+00
-7.747380977246083600e-02,3.547814212110613763e+00,-1.984853213941309757e+00
