q0 (),q1,q2,q3
9.922629109902136868e-01,3.638384348526175344e-02,4.420433869127832899e-02,1.101658197778869475e-01
9.916893920530592821e-01,3.851933652029803506e-02,4.543163997234483942e-02,1.140367330858484268e-01
9.910900903339865398e-01,4.066145961226404204e-02,4.668615372248162421e-02,1.179299859856317995e-01
9.904650713897907854e-01,4.280822569550910006e-02,4.796722566670676841e-02,1.218422891752218989e-01
9.898144173423538694e-01,4.495783512027162754e-02,4.927424501916041755e-02,1.257706685213482445e-01
9.891382243720642231e-01,4.710865687910489874e-02,5.060664085674876356e-02,1.297124336149874935e-01
9.884366004862666921e-01,4.925921169720891973e-02,5.196387883297651916e-02,1.336651494547239916e-01
9.877096635464887031e-01,5.140815680556406336e-02,5.334545818856140098e-02,1.376266109492965961e-01
9.869575395360473680e-01,5.355427223274002169e-02,5.475090902296475548e-02,1.415948199608024483e-01
9.861803610485848637e-01,5.569644846674668553e-02,5.617978979700774533e-02,1.455679646372712022e-01
9.853782659778393960e-01,5.783367535241334956e-02,5.763168504157921423e-02,1.495444008079415965e-01
9.845513963892834619e-01,5.996503210263105094e-02,5.910620325132587977e-02,1.535226352368125324e-01
9.836998975549894331e-01,6.208967831347478317e-02,6.060297494534308549e-02,1.575013105501233135e-01
9.828239171340754643e-01,6.420684588382921665e-02,6.212165087941180081e-02,1.614791916715551112e-01
9.819236044822381437e-01,6.631583174976757311e-02,6.366190039637915909e-02,1.654551536153142932e-01
9.809991100751299653e-01,6.841599135265927223e-02,6.522340990295359686e-02,1.694281705020359574e-01
9.800505850316038048e-01,7.050673276788704813e-02,6.680588146256057069e-02,1.733973056757780185e-01
9.790781807241200063e-01,7.258751142821288915e-02,6.840903149504209968e-02,1.773617028124079009e-01
9.780820484648397040e-01,7.465782538230762710e-02,7.003258957493321835e-02,1.813205779205344925e-01
9.770623392570929600e-01,7.671721103481630999e-02,7.167629732084732086e-02,1.852732121459288450e-01
9.760192036030127527e-01,7.876523931962525760e-02,7.333990736918330478e-02,1.892189452992021903e-01
9.749527913591531370e-01,8.080151226278012300e-02,7.502318242595246156e-02,1.931571700344718312e-01
9.738632516328437072e-01,8.282565989582296728e-02,7.672589439103150166e-02,1.970873266139206992e-01
9.727507327129045755e-01,8.483733748421674881e-02,7.844782354959541071e-02,2.010088981996264734e-01
9.716153820291189014e-01,8.683622303904349471e-02,8.018875782588011369e-02,2.049214066198671857e-01
9.704573461355759934e-01,8.882201508333754936e-02,8.194849209478068108e-02,2.088244085623660318e-01
