ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.028697776005439213e+00,2.950830594724967337e+00,4.043058478811484946e+00
2.020152334610285649e+00,2.971259760527871219e+00,4.026034375732979065e+00
2.011608477446777066e+00,2.991583481652440479e+00,4.008891112726484351e+00
2.003066375392279053e+00,3.011801163206154541e+00,3.991629634370038371e+00
1.994526184353061282e+00,3.031912202699419190e+00,3.974250860904432692e+00
1.985988046808548235e+00,3.051915991132774675e+00,3.956755691181036649e+00
1.977452093196309324e+00,3.071811913992425147e+00,3.939145005306264213e+00
1.968918443154205278e+00,3.091599352161781944e+00,3.921419667013463783e+00
1.960387206634417012e+00,3.111277682756155016e+00,3.903580525789898115e+00
1.951858484902541990e+00,3.130846279887086858e+00,3.885628418783711790e+00
1.943332371433620809e+00,3.150304515362321478e+00,3.867564172513182186e+00
1.934808952715698860e+00,3.169651759326882257e+00,3.849388604398378266e+00
1.926288308970480978e+00,3.188887380850325748e+00,3.831102524133260800e+00
1.917770514799583825e+00,3.208010748464744655e+00,3.812706734914421691e+00
1.909255639764108503e+00,3.227021230657779682e+00,3.794202034541057422e+00
1.900743748904370811e+00,3.245918196324510507e+00,3.775589216399245274e+00
1.892234903205959995e+00,3.264701015181754151e+00,3.756869070342306660e+00
1.883729160017700632e+00,3.283369058148058350e+00,3.738042383477796271e+00
1.875226573426428622e+00,3.301921697692318691e+00,3.719109940870635622e+00
1.866727194593063466e+00,3.320358308153777305e+00,3.700072526170912202e+00
1.858231072053977195e+00,3.338678266035875808e+00,3.680930922173997644e+00
1.849738251991207116e+00,3.356880950276229125e+00,3.661685911319880748e+00
1.841248778474768866e+00,3.374965742494825616e+00,3.642338276137896624e+00
1.832762693679915067e+00,3.392932027222324454e+00,3.622888799642389746e+00
1.824280038081943500e+00,3.410779192110213298e+00,3.603338265684327801e+00
1.815800850630867158e+00,3.428506628124394773e+00,3.583687459263321884e+00
1.807325168908027413e+00,3.446113729723662367e+00,3.563937166804095558e+00
1.798853029266503700e+00,3.463599895024374931e+00,3.544088176401005708e+00
1.790384466957015475e+00,3.480964525952556787e+00,3.524141278033873448e+00
1.781919516240789036e+00,3.498207028384502149e+00,3.504097263758031655e+00
1.773458210490749920e+00,3.515326812276906576e+00,3.483956927871207032e+00
1.765000582282244102e+00,3.532323291787431874e+00,3.463721067059602809e+00
1.756546663474374270e+00,3.549195885386543292e+00,3.443390480525277741e+00
1.748096485282904844e+00,3.565944015961385549e+00,3.422965970096726984e+00
1.739650078345629236e+00,3.582567110912380670e+00,3.402448340324364828e+00
1.731207472780956103e+00,3.599064602243196465e+00,3.381838398562437842e+00
1.722768698240435770e+00,3.615435926644642084e+00,3.361136955038751761e+00
1.714333783955837021e+00,3.631680525573040441e+00,3.340344822913427159e+00
1.705902758781344453e+00,3.647797845323529131e+00,3.319462818327807874e+00
1.697475651231383997e+00,3.663787337098753483e+00,3.298491760444504095e+00
1.689052489514521804e+00,3.679648457073320333e+00,3.277432471479477805e+00
1.680633301563842830e+00,3.695380666454394447e+00,3.256285776726953518e+00
1.672218115064186383e+00,3.710983431538758648e+00,3.235052504577885291e+00
1.663806957476537729e+00,3.726456223766633435e+00,3.213733486532629691e+00
1.655399856059904140e+00,3.741798519772533638e+00,3.192329557208394064e+00
1.646996837890895460e+00,3.757009801433401908e+00,3.170841554341984114e+00
1.638597929881292048e+00,3.772089555914256653e+00,3.149270318788330858e+00
1.630203158793762208e+00,3.787037275711547135e+00,3.127616694515193529e+00
1.621812551255957802e+00,3.801852458694400916e+00,3.105881528594438556e+00
1.613426133773136151e+00,3.816534608143942631e+00,3.084065671190215685e+00
1.605043932739463886e+00,3.831083232790830628e+00,3.062169975544350997e+00
1.596665974448145953e+00,3.845497846851154478e+00,3.040195297959216170e+00
1.588292285100492807e+00,3.859777970060809693e+00,3.018142497778322220e+00
1.579922890814032366e+00,3.873923127708483349e+00,2.996012437364863779e+00
1.571557817629798182e+00,3.887932850667336293e+00,2.973805982078408849e+00
1.563197091518816251e+00,3.901806675425487647e+00,2.951524000249905466e+00
1.554840738387942789e+00,3.915544144115386871e+00,2.929167363155176673e+00
1.546488784085074064e+00,3.929144804542149760e+00,2.906736944987033500e+00
1.538141254403806446e+00,3.942608210210917452e+00,2.884233622826145815e+00
1.529798175087612178e+00,3.955933920353335242e+00,2.861658276610776763e+00
1.521459571833569946e+00,3.969121499953171206e+00,2.839011789105502004e+00
1.513125470295694885e+00,3.982170519771144335e+00,2.816295045868976832e+00
1.504795896087926188e+00,3.995080556369027036e+00,2.793508935220873735e+00
1.496470874786786975e+00,4.007851192133028206e+00,2.770654348208029916e+00
1.488150431933767281e+00,4.020482015296532374e+00,2.747732178569898931e+00
1.479834593037441692e+00,4.032972619962204242e+00,2.724743322703347292e+00
1.471523383575370048e+00,4.045322606123503917e+00,2.701688679626876421e+00
1.463216828995784091e+00,4.057531579685648815e+00,2.678569150944287713e+00
1.454914954719098485e+00,4.069599152486021332e+00,2.655385640807855552e+00
1.446617786139251294e+00,4.081524942314084470e+00,2.632139055881058010e+00
1.438325348624895694e+00,4.093308572930784983e+00,2.608830305300867014e+00
1.430037667520464240e+00,4.104949674087503553e+00,2.585460300639669029e+00
1.421754768147120318e+00,4.116447881544545773e+00,2.562029955866815367e+00
1.413476675803583937e+00,4.127802837089189048e+00,2.538540187309855423e+00
1.405203415766881125e+00,4.139014188553309381e+00,2.514991913615449270e+00
1.396935013293003403e+00,4.150081589830604045e+00,2.491386055710005820e+00
1.388671493617484209e+00,4.161004700893410124e+00,2.467723536760052294e+00
1.380412881955917603e+00,4.171783187809126936e+00,2.444005282132351464e+00
1.372159203504401237e+00,4.182416722756279626e+00,2.420232219353801728e+00
1.363910483439945143e+00,4.192904984040193739e+00,2.396405278071104483e+00
1.355666746920806798e+00,4.203247656108310970e+00,2.372525390010239654e+00
1.347428019086802431e+00,4.213444429565162075e+00,2.348593488935751594e+00
1.339194325059567703e+00,4.223495001186973852e+00,2.324610510609844916e+00
1.330965689942785302e+00,4.233399073935938617e+00,2.300577392751327999e+00
1.322742138822386337e+00,4.243156356974151500e+00,2.276495074994373979e+00
1.314523696766713545e+00,4.252766565677201349e+00,2.252364498847160945e+00
1.306310388826664948e+00,4.262229421647441896e+00,2.228186607650338935e+00
1.298102240035816868e+00,4.271544652726926294e+00,2.203962346535382366e+00
1.289899275410520296e+00,4.280711993010028138e+00,2.179692662382802126e+00
1.281701519949984380e+00,4.289731182855733849e+00,2.155378503780239985e+00
1.273508998636339706e+00,4.298601968899619763e+00,2.131020820980443098e+00
1.265321736434691147e+00,4.307324104065515691e+00,2.106620565859131933e+00
1.257139758293150944e+00,4.315897347576846954e+00,2.082178691872754506e+00
1.248963089142867799e+00,4.324321464967677997e+00,2.057696154016147805e+00
1.240791753898039751e+00,4.332596228093425594e+00,2.033173908780091299e+00
1.232625777455923055e+00,4.340721415141280737e+00,2.008612914108777847e+00
1.224465184696821973e+00,4.348696810640312549e+00,1.984014129357186684e+00
1.216310000484086995e+00,4.356522205471270226e+00,1.959378515248383135e+00
1.208160249664090635e+00,4.364197396876074109e+00,1.934707033830717293e+00
1.200015957066207450e+00,4.371722188467003889e+00,1.910000648434969417e+00
1.191877147502785617e+00,4.379096390235583947e+00,1.885260323631396284e+00
1.183743845769109182e+00,4.386319818561160488e+00,1.860487025186724042e+00
1.175616076643365870e+00,4.393392296219180260e+00,1.835681720021063779e+00
1.167493864886601784e+00,4.400313652389157504e+00,1.810845376164757381e+00
1.159377235242678550e+00,4.407083722662350489e+00,1.785978962715176088e+00
1.151266212438218695e+00,4.413702349049125395e+00,1.761083449793437561e+00
1.143160821182564124e+00,4.420169379986021774e+00,1.736159808501084090e+00
1.135061086167713729e+00,4.426484670342516026e+00,1.711209010876697967e+00
1.126967032068272534e+00,4.432648081427482012e+00,1.686232029852460901e+00
1.118878683541393970e+00,4.438659480995353235e+00,1.661229839210671688e+00
1.110796065226715923e+00,4.444518743251977710e+00,1.636203413540215035e+00
1.102719201746304778e+00,4.450225748860173525e+00,1.611153728192976642e+00
1.094648117704589918e+00,4.455780384944992178e+00,1.586081759240229649e+00
1.086582837688298886e+00,4.461182545098656860e+00,1.560988483428968898e+00
1.078523386266398765e+00,4.466432129385229821e+00,1.535874878138216992e+00
1.070469787990020238e+00,4.471529044344956461e+00,1.510741921335288396e+00
1.062422067392398528e+00,4.476473202998308309e+00,1.485590591532019111e+00
1.054380248988805224e+00,4.481264524849743580e+00,1.460421867740976154e+00
1.046344357276475678e+00,4.485902935891139087e+00,1.435236729431625058e+00
1.038314416734543721e+00,4.490388368604944169e+00,1.410036156486477621e+00
1.030290451823971276e+00,4.494720761967026412e+00,1.384821129157219222e+00
1.022272486987478413e+00,4.498900061449198517e+00,1.359592628020803939e+00
1.014260546649472738e+00,4.502926219021471610e+00,1.334351633935535242e+00
1.006254655215979010e+00,4.506799193153986138e+00,1.309099127997134904e+00
9.982548370745681909e-01,4.510518948818653229e+00,1.283836091494784615e+00
9.902611165942860616e-01,4.514085457490479847e+00,1.258563505867159371e+00
9.822735181255806136e-01,4.517498697148615960e+00,1.233282352658457759e+00
9.742920660002313271e-01,4.520758652277069523e+00,1.207993613474406480e+00
9.663167845312776727e-01,4.523865313865148785e+00,1.182698269938272206e+00
9.583476980129462808e-01,4.526818679407580426e+00,1.157397303646862774e+00
9.503848307205775559e-01,4.529618752904340795e+00,1.132091696126524605e+00
9.424282069105553994e-01,4.532265544860179851e+00,1.106782428789143014e+00
9.344778508202308265e-01,4.534759072283836900e+00,1.081470482888138518e+00
9.265337866678565737e-01,4.537099358686972117e+00,1.056156839474476250e+00
9.185960386525046095e-01,4.539286434082775656e+00,1.030842479352668706e+00
9.106646309540036288e-01,4.541320334984289886e+00,1.005528383036795592e+00
9.027395877328585616e-01,4.543201104402425194e+00,9.802155307065325562e-01
8.948209331301800740e-01,4.544928791843672933e+00,9.549049021631861311e-01
8.869086912676131806e-01,4.546503453307520815e+00,9.295974767857465570e-01
8.790028862472634152e-01,4.547925151283568113e+00,9.042942334869635834e-01
8.711035421516223343e-01,4.549193954748325552e+00,8.789961506694219384e-01
8.632106830434981282e-01,4.550309939161738093e+00,8.537042061816622063e-01
8.553243329659411254e-01,4.551273186463389742e+00,8.284193772743014827e-01
8.474445159421687412e-01,4.552083785068411714e+00,8.031426405561900017e-01
8.395712559754940907e-01,4.552741829863087730e+00,7.778749719505938520e-01
8.317045770492577095e-01,4.553247422200172423e+00,7.526173466514077814e-01
8.238445031267448426e-01,4.553600669893887343e+00,7.273707390793884286e-01
8.159910581511259364e-01,4.553801687214639848e+00,7.021361228384332964e-01
8.081442660453682647e-01,4.553850594883420477e+00,6.769144706718873694e-01
8.003041507121788634e-01,4.553747520065925869e+00,6.517067544188902550e-01
7.924707360339200424e-01,4.553492596366353951e+00,6.265139449707590735e-01
7.846440458725431055e-01,4.553085963820930004e+00,6.013370122274145357e-01
7.768241040695136324e-01,4.552527768891107662e+00,5.761769250538470999e-01
7.690109344457414231e-01,4.551818164456491900e+00,5.510346512366369742e-01
7.612045608015014508e-01,4.550957309807447615e+00,5.259111574405095357e-01
7.534050069163715779e-01,4.549945370637423991e+00,5.008074091649492576e-01
7.456122965491510657e-01,4.548782519034974214e+00,4.757243707008624867e-01
7.378264534377924067e-01,4.547468933475477648e+00,4.506630050872887372e-01
7.300475012993298263e-01,4.546004798812575132e+00,4.256242740681770997e-01
7.222754638298052310e-01,4.544390306269289859e+00,4.006091380492121656e-01
7.145103647041972650e-01,4.542625653428870258e+00,3.756185560547026792e-01
7.067522275763472583e-01,4.540711044225328230e+00,3.506534856845309189e-01
6.990010760788902822e-01,4.538646688933686058e+00,3.257148830711689147e-01
6.912569338231810967e-01,4.536432804159921339e+00,3.008037028367547272e-01
6.835198243992219869e-01,4.534069612830630369e+00,2.759208980502418362e-01
6.757897713755933733e-01,4.531557344182388647e+00,2.510674201846157527e-01
6.680667982993776510e-01,4.528896233750813849e+00,2.262442190741825454e-01
6.603509286960945746e-01,4.526086523359354352e+00,2.014522428719314473e-01
6.526421860696214328e-01,4.523128461107761566e+00,1.766924380069750666e-01
6.449405939021275458e-01,4.520022301360294037e+00,1.519657491420624285e-01
6.372461756539967714e-01,4.516768304733608907e+00,1.272731191311808063e-01
6.295589547637665540e-01,4.513366738084376273e+00,1.026154889772297463e-01
6.218789546480432140e-01,4.509817874496603096e+00,7.799379778978229871e-02
6.142061987014411084e-01,4.506121993268660475e+00,5.340898274293972431e-02
6.065407102965061359e-01,4.502279379900026690e+00,2.886197903325988384e-02
5.988825127836456819e-01,4.498290326077742485e+00,4.353719837790734175e-03
5.912316294910602288e-01,4.494155129662575021e+00,-2.011486372781770560e-02
5.835880837246644193e-01,4.489874094674894955e+00,-4.454284265109915292e-02
5.759518987680279922e-01,4.485447531280276401e+00,-6.892929006446076035e-02
5.683230978822922941e-01,4.480875755774794911e+00,-9.327328128678286090e-02
5.607017043061101047e-01,4.476159090570055454e+00,-1.175738938649081994e-01
5.530877412555679218e-01,4.471297864177924630e+00,-1.418302076150364799e-01
5.454812319241167939e-01,4.466292411194984879e+00,-1.660413046640140389e-01
5.378821994825058184e-01,4.461143072286707145e+00,-1.902062694905162776e-01
5.302906670787040921e-01,4.455850194171334877e+00,-2.143241889661221533e-01
5.227066578378366524e-01,4.450414129603493585e+00,-2.383941523962830045e-01
5.151301948621119786e-01,4.444835237357512625e+00,-2.624152515611720138e-01
5.075613012307500505e-01,4.439113882210474316e+00,-2.863865807564308641e-01
4.999999999999126254e-01,4.433250434924970840e+00,-3.103072368337871922e-01
4.924463142026355156e-01,4.427245272231603579e+00,-3.341763192415723172e-01
4.849002668487561452e-01,4.421098776811183129e+00,-3.579929300650990798e-01
4.773618809248435513e-01,4.414811337276665526e+00,-3.817561740669377368e-01
4.698311793941278847e-01,4.408383348154809589e+00,-4.054651587270550750e-01
4.623081851964319644e-01,4.401815209867551815e+00,-4.291189942828361747e-01
4.547929212481014449e-01,4.395107328713118378e+00,-4.527167937689742794e-01
4.472854104419344279e-01,4.388260116846857350e+00,-4.762576730572383177e-01
4.397856756471098527e-01,4.381273992261798256e+00,-4.997407508960988731e-01
4.322937397091206613e-01,4.374149378768941610e+00,-5.231651489502334718e-01
4.248096254497036872e-01,4.366886705977272243e+00,-5.465299918398892620e-01
4.173333556667674915e-01,4.359486409273510610e+00,-5.698344071801145772e-01
4.098649531343285801e-01,4.351948929801591426e+00,-5.930775256198476120e-01
4.024044406024358533e-01,4.344274714441874963e+00,-6.162584808808678760e-01
3.949518407971035483e-01,4.336464215790085674e+00,-6.393764097966051496e-01
3.875071764202432378e-01,4.328517892135994138e+00,-6.624304523508033338e-01
3.800704701495937199e-01,4.320436207441826326e+00,-6.854197517160407482e-01
3.726417446386516286e-01,4.312219631320414415e+00,-7.083434542921024368e-01
3.652210225166033220e-01,4.303868639013077591e+00,-7.312007097442032588e-01
3.578083263882559928e-01,4.295383711367248836e+00,-7.539906710410564372e-01
3.504036788339677244e-01,4.286765334813829931e+00,-7.767124944927962238e-01
3.430071024095788235e-01,4.278014001344302208e+00,-7.993653397887381384e-01
3.356186196463448179e-01,4.269130208487559308e+00,-8.219483700349896615e-01
3.282382530508626828e-01,4.260114459286495681e+00,-8.444607517918957251e-01
3.208660251050124423e-01,4.250967262274338410e+00,-8.669016551113306601e-01
3.135019582658761239e-01,4.241689131450709915e+00,-8.892702535738233882e-01
3.061460749656810254e-01,4.232280586257453514e+00,-9.115657243255220754e-01
2.987983976117213891e-01,4.222742151554189860e+00,-9.337872481149925852e-01
2.914589485862967844e-01,4.213074357593637131e+00,-9.559340093298462904e-01
2.841277502466433291e-01,4.203277739996661211e+00,-9.780051960332074579e-01
2.768048249248619141e-01,4.193352839727091386e+00,-9.999999999999984457e-01
2.694901949278525888e-01,4.183300203066282030e+00,-1.021917616753064362e+00
