gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
5.903722507051303836e+01,-3.573708387730403757e+01,2.869935142727104704e+01
5.926248598668208700e+01,-3.603170097639374347e+01,2.799301848741217924e+01
5.945689608621890443e+01,-3.634361685780297080e+01,2.728881587627859417e+01
5.962036528744493324e+01,-3.667249708410984965e+01,2.658777022678575364e+01
5.975281981169601409e+01,-3.701797712755110581e+01,2.589089681874011006e+01
5.985420376271856213e+01,-3.737965539551198901e+01,2.519919224236682354e+01
5.992448118491883235e+01,-3.775710319618778499e+01,2.451363694797402815e+01
5.996363547781179903e+01,-3.814985605370287658e+01,2.383519358453591153e+01
5.997166719949684222e+01,-3.855742392387273298e+01,2.316480625978940111e+01
5.994859690079306347e+01,-3.897928356969944019e+01,2.250339977006915504e+01
5.989446501054256800e+01,-3.941488570140138847e+01,2.185188072600589138e+01
5.980933098127771075e+01,-3.986365405176518806e+01,2.121113388428325308e+01
5.969327311975762029e+01,-4.032498378342745582e+01,2.058202287323126001e+01
5.954638895018563716e+01,-4.079824705316545419e+01,1.996539231082510568e+01
5.936879898194457894e+01,-4.128278810590988712e+01,1.936206090486217590e+01
5.916063828637116728e+01,-4.177792915209265345e+01,1.877282717860112982e+01
5.892206434034944351e+01,-4.228297047826765720e+01,1.819846403437459514e+01
5.865325503878509750e+01,-4.279718829964141946e+01,1.763972107771249398e+01
5.835440729774234114e+01,-4.331983873311315847e+01,1.709732111138090360e+01
5.802573510582990224e+01,-4.385015764253746084e+01,1.657196370925728246e+01
5.766747580880462465e+01,-4.438736383800994645e+01,1.606431975720052918e+01
5.727988222661522855e+01,-4.493065492230310554e+01,1.557503442869560928e+01
5.686323100556338517e+01,-4.547921230185075814e+01,1.510472416642430638e+01
5.641781312298041229e+01,-4.603220447869203724e+01,1.465397771631500135e+01
5.594394182295524587e+01,-4.658878143196773891e+01,1.422335644314802749e+01
5.544194831221925313e+01,-4.714808027768467014e+01,1.381338910790982943e+01
5.491218304901303782e+01,-4.770922704687893656e+01,1.342457763719326103e+01
5.435501411269886063e+01,-4.827133301490559347e+01,1.305739368180837623e+01
5.377082787277045384e+01,-4.883350260364235851e+01,1.271227502051754321e+01
5.316002880845415746e+01,-4.939482834224705954e+01,1.238963162595351264e+01
5.252304007273133379e+01,-4.995439536868298802e+01,1.208984070815305500e+01
5.186030238739767384e+01,-5.051128077255287252e+01,1.181324819179054408e+01
5.117227276596705110e+01,-5.106455742859797908e+01,1.156016659903728261e+01
