ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
5.878039042165807615e+01,-3.546089690907160019e+01,2.940593368428984888e+01
5.903639126284396355e+01,-3.573791752916648790e+01,2.869851782074081470e+01
5.926165192513669666e+01,-3.603253474503470244e+01,2.799218559231633918e+01
5.945606270119353809e+01,-3.634445019297598378e+01,2.728798203198659778e+01
5.961953189881363357e+01,-3.667333093550657708e+01,2.658693671775989031e+01
5.975198606834791804e+01,-3.701881039298933729e+01,2.589006328936770984e+01
5.985337021656469148e+01,-3.738048925308445547e+01,2.519835891872526545e+01
5.992364800542799941e+01,-3.775793636412988263e+01,2.451280374056503319e+01
5.996280193453050344e+01,-3.815068961780441725e+01,2.383436024924912644e+01
5.997083350616802022e+01,-3.855825682574476332e+01,2.316397266739326710e+01
5.994776337225891183e+01,-3.898011659417170449e+01,2.250256629158128518e+01
5.989363146249542069e+01,-3.941571920002487417e+01,2.185104682011319710e+01
5.980849709327566188e+01,-3.986448747160515182e+01,2.121029966741262385e+01
5.969243905710084164e+01,-4.032581767627056024e+01,2.058118926941903482e+01
5.954555569224130807e+01,-4.079908041732523571e+01,1.996455838400764193e+01
5.936796493257484286e+01,-4.128362154187211530e+01,1.936122739021181616e+01
5.915980433758611667e+01,-4.177876306106941229e+01,1.877199358977245680e+01
5.892123110258825136e+01,-4.228380408393167755e+01,1.819763051430110679e+01
5.865242204928849645e+01,-4.279802176554638748e+01,1.763888724112062079e+01
5.835357359687051115e+01,-4.332067227033461876e+01,1.709648772063761868e+01
5.802490171380841133e+01,-4.385099175076454259e+01,1.657113011790291779e+01
5.766664185066241544e+01,-4.438819734172941622e+01,1.606348617083007824e+01
5.727904885413504843e+01,-4.493148817062324696e+01,1.557420056736711445e+01
5.686239686268987015e+01,-4.548004638298684910e+01,1.510389034375062423e+01
5.641697918405394319e+01,-4.603303818345249709e+01,1.465314430581596916e+01
5.594310815494008438e+01,-4.658961489158495084e+01,1.422252247518969703e+01
5.544111498333678156e+01,-4.714891401209896316e+01,1.381255556205112001e+01
5.491134957372307923e+01,-4.771006031882862430e+01,1.342374446601785820e+01
5.435418033557252215e+01,-4.827216695172784711e+01,1.305655980658593229e+01
5.376999397551544035e+01,-4.883433652609756592e+01,1.271144148443508826e+01
5.315919527353282348e+01,-4.939566225315719095e+01,1.238879827479848750e+01
5.252220684355723535e+01,-4.995522907101123167e+01,1.208900745398746857e+01
5.185946887885812373e+01,-5.051211478499966034e+01,1.181241446006016105e+01
5.117143888258971174e+01,-5.106539121636724587e+01,1.155933258852432033e+01
5.045859138387995557e+01,-5.161412535813865077e+01,1.133004272387126221e+01
4.972141763983930929e+01,-5.215738053704390609e+01,1.112479310764773821e+01
4.896042532386751134e+01,-5.269421758030149050e+01,1.094379914368596296e+01
4.817613820063618135e+01,-5.322369598603447827e+01,1.078724324102919851e+01
4.736909578812474564e+01,-5.374487509606683489e+01,1.065527469500973368e+01
4.653985300708646378e+01,-5.425681526982395297e+01,1.054800960685913402e+01
4.568897981832082422e+01,-5.475857905804142689e+01,1.046553084215548424e+01
4.481706084812821445e+01,-5.524923237497039707e+01,1.040788802834000393e+01
4.392469500232240875e+01,-5.572784566775491299e+01,1.037509759146543331e+01
4.301249506917618959e+01,-5.619349508164790308e+01,1.036714283227003364e+01
4.208108731167519068e+01,-5.664526361972546198e+01,1.038397404160524751e+01
4.113111104945533469e+01,-5.708224229575662179e+01,1.042550865518050962e+01
4.016321823079915987e+01,-5.750353127888423188e+01,1.049163144752608545e+01
3.917807299506676344e+01,-5.790824102877552093e+01,1.058219476501382417e+01
3.817635122593747354e+01,-5.829549341990480826e+01,1.069701879771649189e+01
3.715874009583873772e+01,-5.866442285363807230e+01,1.083589188982811713e+01
3.612593760193986014e+01,-5.901417735679817156e+01,1.099857088831175389e+01
3.507865209408817719e+01,-5.934391966540100327e+01,1.118478152938559589e+01
3.401760179506668891e+01,-5.965282829226673300e+01,1.139421886240535464e+01
3.294351431355287474e+01,-5.994009857722489443e+01,1.162654771064791426e+01
3.185712615015904348e+01,-6.020494371865112271e+01,1.188140316845077926e+01
3.075918219693593159e+01,-6.044659578509164533e+01,1.215839113411213113e+01
2.965043523072199250e+01,-6.066430670575304163e+01,1.245708887790804198e+01
2.853164540072158673e+01,-6.085734923865874180e+01,1.277704564453641467e+01
2.740357971069661147e+01,-6.102501791529734021e+01,1.311778328925161219e+01
2.626701149615674780e+01,-6.116662996061506163e+01,1.347879694690950814e+01
2.512271989693436680e+01,-6.128152618723221678e+01,1.385955573309970212e+01
2.397148932553083611e+01,-6.136907186279353965e+01,1.425950347650000083e+01
