q0 (),q1,q2,q3
8.765447060312798744e-01,1.792883251469565287e-01,-1.852997965543686232e-01,4.064345706155494398e-01
8.672600936563378271e-01,1.899710541214883475e-01,-1.924650539203510424e-01,4.180049420361044987e-01
8.575924723726844334e-01,2.008421593370058877e-01,-1.993848094320402331e-01,4.294685973738990858e-01
8.475451308771060344e-01,2.118904741871969755e-01,-2.060500538371503043e-01,4.408095432144608639e-01
8.371218295627220751e-01,2.231048169699668682e-01,-2.124526438966131969e-01,4.520123418842646457e-01
8.263267752269048971e-01,2.344740058590617515e-01,-2.185852468434139606e-01,4.630620811315828700e-01
8.151645981461277390e-01,2.459868723756190034e-01,-2.244412898073615825e-01,4.739443469203228343e-01
8.036403312970263890e-01,2.576322735332990943e-01,-2.300149137670016164e-01,4.846451990803454235e-01
7.917593915097224100e-01,2.693991028223637896e-01,-2.353009316224925207e-01,4.951511495818693986e-01
7.795275623487828431e-01,2.812763001872480295e-01,-2.402947900137922810e-01,5.054491432219122560e-01
7.669509785283386005e-01,2.932528611398064755e-01,-2.449925345370309593e-01,5.155265405280922142e-01
7.540361116800815555e-01,3.053178451372889901e-01,-2.493907780386648843e-01,5.253711027001536360e-01
7.407897573056864138e-01,3.174603833407842468e-01,-2.534866716920476382e-01,5.349709784227483222e-01
7.272190227582194799e-01,3.296696858567637056e-01,-2.572778785844742067e-01,5.443146923947169702e-01
7.133313161100052202e-01,3.419350485517678173e-01,-2.607625495646925251e-01,5.533911354306184638e-01
6.991343357770336553e-01,3.542458595183761716e-01,-2.639393011213599372e-01,5.621895559998077996e-01
6.846360607821186939e-01,3.665916052595324381e-01,-2.668071950820631311e-01,5.706995530771196146e-01
6.698447415505648372e-01,3.789618766481106515e-01,-2.693657199403551861e-01,5.789110701873072529e-01
6.547688911429943026e-01,3.913463747093378076e-01,-2.716147736348718533e-01,5.868143905329089582e-01
6.394172768401937823e-01,4.037349162653235402e-01,-2.735546476200269028e-01,5.944001331022613632e-01
6.237989120043188063e-01,4.161174394734738491e-01,-2.751860120821174593e-01,6.016592496609760587e-01
6.079230481495871974e-01,4.284840092839199976e-01,-2.765099021679430780e-01,6.085830225364217139e-01
5.917991671636595452e-01,4.408248228352564246e-01,-2.775277051053361421e-01,6.151630631106106417e-01
5.754369736283206915e-01,4.531302148027579468e-01,-2.782411481063381542e-01,6.213913109424307191e-01
5.588463871948233797e-01,4.653906627088265635e-01,-2.786522869542499281e-01,6.272600334453799498e-01
5.420375349754171790e-01,4.775967922015771361e-01,-2.787634951853962262e-01,6.327618260519186633e-01
5.250207439181409086e-01,4.897393823042295868e-01,-2.785774537853503707e-01,6.378896128001965149e-01
5.078065331370034130e-01,5.018093706352002581e-01,-2.780971413274894166e-01,6.426366472833306975e-01
4.904056061742131378e-01,5.137978585964758649e-01,-2.773258244892352065e-01,6.469965139055573466e-01
4.728288431751824783e-01,5.256961165259466107e-01,-2.762670488881958653e-01,6.509631293934887708e-01
4.550872929607081563e-01,5.374955888077944666e-01,-2.749246301866679065e-01,6.545307445144047387e-01
4.371921649839691781e-01,5.491878989338040418e-01,-2.733026454187172938e-01,6.576939459569586255e-01
4.191548211629245735e-01,5.607648545074561675e-01,-2.714054244992635812e-01,6.604476583329543793e-01
4.009867675812585075e-01,5.722184521819408953e-01,-2.692375418793825359e-01,6.627871462618941667e-01
3.826996460533454991e-01,5.835408825226644502e-01,-2.668038083163735696e-01,6.647080165028805832e-01
3.643052255507305826e-01,5.947245347844747343e-01,-2.641092627311052432e-01,6.662062201011436091e-01
3.458153934894222514e-01,6.057620015936053814e-01,-2.611591641287448473e-01,6.672780545189840318e-01
3.272421468788847543e-01,6.166460835242570937e-01,-2.579589835622452254e-01,6.679201657232896050e-01
3.085975833350097508e-01,6.273697935597541964e-01,-2.545143961209256345e-01,6.681295502039883427e-01
2.898938919605634768e-01,6.379263614283309236e-01,-2.508312729291765075e-01,6.679035568998690220e-01
2.711433440976815934e-01,6.483092378037920156e-01,-2.469156731427439300e-01,6.672398890101357560e-01
2.523582839579022741e-01,6.585120983615454504e-01,-2.427738359322628436e-01,6.661366056718633910e-01
-2.335511191360480909e-01,-6.685288476808116664e-01,2.384121724456875757e-01,-6.645921234852196768e-01
-2.147343110149473322e-01,-6.783536229841604648e-01,2.338372577430802290e-01,-6.626052178698835782e-01
-1.959203650686074383e-01,-6.879807977059044788e-01,2.290558226988241020e-01,-6.601750242375847844e-01
-1.771218210719366914e-01,-6.974049848812957642e-01,2.240747458678063186e-01,-6.573010389670460585e-01
-1.583512432255801405e-01,-7.066210403488765168e-01,2.189010453134192513e-01,-6.539831201689207951e-01
-1.396212102047743875e-01,-7.156240657587976672e-01,2.135418703964174492e-01,-6.502214882295124232e-01
-1.209443051414478831e-01,-7.244094113803593027e-01,2.080044935247278848e-01,-6.460167261231980484e-01
-1.023331055490494246e-01,-7.329726787024746226e-01,2.022963018652645106e-01,-6.413697794845372169e-01
-8.380017319978044776e-02,-7.413097228212331968e-01,1.964247890196463286e-01,-6.362819564320371102e-01
-6.535804396408309569e-02,-7.494166546091880488e-01,1.903975466664834526e-01,-6.307549271364800703e-01
-4.701921762235641844e-02,-7.572898426614477208e-01,1.842222561735661901e-01,-6.247907231275942053e-01
-2.879614765897078876e-02,-7.649259150141112240e-01,1.779066801839092604e-01,-6.183917363336671746e-01
-1.070123104870193687e-02,-7.723217606310310845e-01,1.714586541801155772e-01,-6.115607178494790741e-01
7.253201954235094506e-03,-7.794745306553254593e-01,1.648860780320184349e-01,-6.043007764286673078e-01
2.505489801437987829e-02,-7.863816394225029427e-01,1.581969075329568708e-01,-5.966153766973112393e-01
4.269169089026944586e-02,-7.930407652324810153e-01,1.513991459304163678e-01,-5.885083370861887708e-01
6.015151157657996905e-02,-7.994498508782046375e-01,1.445008354570760101e-01,-5.799838274797634030e-01
7.742239840306211485e-02,-8.056071039289744995e-01,1.375100488685729316e-01,-5.710463665805524114e-01
9.449250708021897371e-02,-8.115109967669993374e-01,1.304348809945443943e-01,-5.617008189880668967e-01
1.113501206817492373e-01,-8.171602663760713092e-01,1.232834403096801368e-01,-5.519523919920608090e-01
1.279836595538643984e-01,-8.225539138816549967e-01,1.160638405317092336e-01,-5.418066320803035518e-01
1.443816911416738458e-01,-8.276912038420406459e-01,1.087841922533650252e-01,-5.312694211615860418e-01
1.605329397229529609e-01,-8.325716632905862946e-01,1.014525946154781200e-01,-5.203469725051169670e-01
1.764262960397129099e-01,-8.371950805294218201e-01,9.407712702844248098e-02,-5.090458263978960840e-01
1.920508268181171374e-01,-8.415615036753333333e-01,8.666584094934196014e-02,-4.973728455220819411e-01
2.073957841674297087e-01,-8.456712389588854073e-01,7.922675172207338523e-02,-4.853352100547512205e-01
2.224506148488146207e-01,-8.495248487781628111e-01,7.176783048781151808e-02,-4.729404124928386910e-01
2.372049694049509494e-01,-8.531231495088340555e-01,6.429699617316961269e-02,-4.601962522064159677e-01
2.516487111415971478e-01,-8.564672090725473641e-01,5.682210756337396917e-02,-4.471108297238069462e-01
2.657719249523839422e-01,-8.595583442659757711e-01,4.935095546775800091e-02,-4.336925407523838372e-01
2.795649259782957974e-01,-8.623981178531161529e-01,4.189125498481230392e-02,-4.199500699392135217e-01
2.930182680934712569e-01,-8.649883354237343225e-01,3.445063787397381616e-02,-4.058923843760268158e-01
3.061227522091301001e-01,-8.673310420211284288e-01,2.703664504126462864e-02,-3.915287268532969822e-01
3.188694343876327664e-01,-8.694285185426484652e-01,1.965671914578914770e-02,-3.768686088684893853e-01
3.312496337588531903e-01,-8.712832779166722608e-01,1.231819733401470773e-02,-3.619218033938339518e-01
3.432549402312628506e-01,-8.728980610599941237e-01,5.028304108637610126e-03,-3.466983374092321712e-01
3.548772219903101321e-01,-8.742758326198261098e-01,-2.205855661274166990e-03,-3.312084842061741585e-01
3.661086327768976467e-01,-8.754197765048480351e-01,-9.377303582309232111e-03,-3.154627554687841617e-01
3.769416189389708793e-01,-8.763332912099807137e-01,-1.647919442449029270e-02,-2.994718931383558713e-01
3.873689262494457441e-01,-8.770199849397714020e-01,-2.350482264853050174e-02,-2.832468610679663712e-01
3.973836064839315618e-01,-8.774836705355010258e-01,-3.044762876645229488e-02,-2.667988364739777296e-01
4.069790237519299025e-01,-8.777283602113286065e-01,-3.730120552962039315e-02,-2.501392011914465030e-01
4.161488605754176673e-01,-8.777582601049919164e-01,-4.405930393839628534e-02,-2.332795327406643748e-01
4.248871237089720254e-01,-8.775777646487695760e-01,-5.071583906781990808e-02,-2.162315952122456642e-01
4.331881496958129296e-01,-8.771914507666063177e-01,-5.726489570388241385e-02,-1.990073299783650385e-01
4.410466101544120443e-01,-8.766040719034673412e-01,-6.370073378516817597e-02,-1.816188462379210722e-01
4.484575167905368587e-01,-8.758205518931703182e-01,-7.001779364481643120e-02,-1.640784114035720165e-01
4.554162261298679848e-01,-8.748459786710973685e-01,-7.621070104797195155e-02,-1.463984413387499628e-01
4.619184439665805497e-01,-8.736855978383516463e-01,-8.227427202008712193e-02,-1.285914904529061320e-01
