ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
8.852995017166523439e+01,-6.952995017166523439e+01,2.450998339055507103e+01
9.002695515449870811e+01,-7.102695515449873653e+01,2.500898505149956463e+01
9.152425963904883588e+01,-7.252425963904883588e+01,2.550808654634960604e+01
9.302183367514395229e+01,-7.402183367514399492e+01,2.600727789171464721e+01
9.451965030762954711e+01,-7.551965030762958975e+01,2.650655010254318000e+01
9.601768527686658672e+01,-7.701768527686660093e+01,2.700589509228886342e+01
9.751591674917992236e+01,-7.851591674917995078e+01,2.750530558305997531e+01
9.901432507426193297e+01,-8.001432507426197560e+01,2.800477502475397529e+01
1.005128925668357311e+02,-8.151289256683575957e+01,2.850429752227857705e+01
1.020116033101521680e+02,-8.301160331015219640e+01,2.900386777005071792e+01
1.035104429791369398e+02,-8.451044297913696823e+01,2.950348099304564187e+01
1.050093986812232458e+02,-8.600939868122327425e+01,3.000313289374107839e+01
1.065084588131009156e+02,-8.750845881310092977e+01,3.050281960436697304e+01
1.080076129317908169e+02,-8.900761293179085953e+01,3.100253764393027112e+01
-7.049314836138827900e+01,-8.949314836138826479e+01,-1.484977161204627407e+02
-6.899383352524941415e+01,-8.799383352524941415e+01,-1.479979445084164809e+02
-6.749445017272448410e+01,-8.649445017272446989e+01,-1.474981500575748328e+02
-6.599500515545206270e+01,-8.499500515545204848e+01,-1.469983350518173495e+02
-6.449550463990682658e+01,-8.349550463990681237e+01,-1.464985015466356231e+02
-6.299595417591620361e+01,-8.199595417591613966e+01,-1.459986513919720608e+02
-6.149635875832458254e+01,-8.049635875832451859e+01,-1.454987862527748632e+02
-5.999672288249212215e+01,-7.899672288249205110e+01,-1.449989076274973456e+02
-5.849705059424289288e+01,-7.749705059424287867e+01,-1.444990168647476310e+02
-5.699734553481864197e+01,-7.599734553481857802e+01,-1.439991151782728878e+02
-5.549761098133676285e+01,-7.449761098133670600e+01,-1.434992036604455734e+02
-5.399784988320310930e+01,-7.299784988320304535e+01,-1.429992832944010104e+02
-5.249806489488276640e+01,-7.149806489488275929e+01,-1.424993549649609292e+02
-5.099825840539448052e+01,-6.999825840539446631e+01,-1.419994194684648221e+02
-4.949843256485504384e+01,-6.849843256485503673e+01,-1.414994775216183314e+02
-4.799858930836954585e+01,-6.699858930836953164e+01,-1.409995297694565011e+02
